ticker,2025-07-30_mentions,2025-07-30_Upvotes,2025-07-30_Total Comments,2025-07-31_mentions,2025-07-31_Upvotes,2025-07-31_Total Comments,2025-08-01_mentions,2025-08-01_Upvotes,2025-08-01_Total Comments,2025-08-02_mentions,2025-08-02_Upvotes,2025-08-02_Total Comments,2025-08-03_mentions,2025-08-03_Upvotes,2025-08-03_Total Comments,2025-08-04_mentions,2025-08-04_Upvotes,2025-08-04_Total Comments
AACB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACBU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACIW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAPL,0,0,0,0,0,0,5,1875,348,5,1670,266,3,73,27,1,3,5
AARD,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,0,0,0
AAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAT,0,0,0,0,0,0,0,0,0,1,45,16,1,84,22,0,0,0
ABBV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLLL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLVW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABNB,1,410,223,1,483,276,0,0,0,0,0,0,0,0,0,0,0,0
ABOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABPWW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
