ticker,mentions,Upvotes,Total Comments,Change (1d),date
ABCL,1,12,13,0.0,2025-07-29
ADAP,1,1,2,0.0,2025-07-29
ADIL,2,54,24,100.0,2025-07-29
ADV,1,8,9,0.0,2025-07-29
AEO,1,64,34,0.0,2025-07-29
AIN,1,57,58,0.0,2025-07-29
AMC,1,29,36,0.0,2025-07-29
AMD,11,8448,743,1000.0,2025-07-29
AMZN,2,288,70,100.0,2025-07-29
ANET,1,18,1,0.0,2025-07-29
ANVS,1,2,4,0.0,2025-07-29
API,1,5,1,0.0,2025-07-29
APP,1,3285,199,0.0,2025-07-29
APPS,1,3,6,0.0,2025-07-29
AREN,4,253,125,300.0,2025-07-29
ASML,1,87,15,0.0,2025-07-29
ASPI,1,2,4,0.0,2025-07-29
ATHS,1,69,73,0.0,2025-07-29
ATYR,2,19,11,100.0,2025-07-29
AU,1,0,1,0.0,2025-07-29
AVGO,1,18,1,0.0,2025-07-29
BA,2,285,67,100.0,2025-07-29
BBAI,1,2,6,0.0,2025-07-29
BIO,6,125,97,500.0,2025-07-29
BKNG,2,301,64,100.0,2025-07-29
BNGO,1,1,2,0.0,2025-07-29
BR,1,1,3,0.0,2025-07-29
BROS,1,101,30,0.0,2025-07-29
BTU,1,5,1,0.0,2025-07-29
BURU,1,4,4,0.0,2025-07-29
BV,1,7,7,0.0,2025-07-29
CAPS,1,36,3,0.0,2025-07-29
CARS,1,208,38,0.0,2025-07-29
CC,2,2,4,100.0,2025-07-29
CELC,1,3,6,0.0,2025-07-29
CHSN,2,145,129,100.0,2025-07-29
CHTR,1,39,47,0.0,2025-07-29
CIO,1,8,9,0.0,2025-07-29
CL,1,2,2,0.0,2025-07-29
CLOV,1,1907,209,0.0,2025-07-29
CPA,1,58504,549,0.0,2025-07-29
CRSP,1,4,12,0.0,2025-07-29
CYBR,1,5,7,0.0,2025-07-29
CZR,2,44,29,100.0,2025-07-29
DC,1,8,9,0.0,2025-07-29
DEC,2,67,37,100.0,2025-07-29
DMAC,1,5,1,0.0,2025-07-29
DNA,1,7,2,0.0,2025-07-29
DNUT,1,1298,219,-95.0,2025-07-29
DOCN,1,283,111,0.0,2025-07-29
DOCU,1,18,1,0.0,2025-07-29
DRRX,1,6,12,0.0,2025-07-29
DTC,2,163,54,100.0,2025-07-29
DTE,1,18,1,0.0,2025-07-29
DUOL,1,5,7,0.0,2025-07-29
DYNX,1,3,6,0.0,2025-07-29
DYNXW,1,3,6,0.0,2025-07-29
EBAY,1,1,10,0.0,2025-07-29
ELV,1,114,172,0.0,2025-07-29
EMA,1,14,33,0.0,2025-07-29
EOD,1,29,36,0.0,2025-07-29
EQT,1,5,1,0.0,2025-07-29
ESP,1,34,60,0.0,2025-07-29
ET,1,2,4,0.0,2025-07-29
EXP,1,1,5,0.0,2025-07-29
EXPO,1,2,1,0.0,2025-07-29
FLWS,1,12,8,0.0,2025-07-29
FUBO,1,93,34,0.0,2025-07-29
GF,1,0,3,0.0,2025-07-29
GIBO,10,143,344,900.0,2025-07-29
GLP,1,43,30,0.0,2025-07-29
GLXY,2,116,101,100.0,2025-07-29
GOOG,1,0,2,0.0,2025-07-29
GOOGL,1,966,210,0.0,2025-07-29
GOSS,1,3,2,0.0,2025-07-29
HCTI,3,83,50,200.0,2025-07-29
HL,1,6,3,0.0,2025-07-29
HOOD,2,285,65,100.0,2025-07-29
HUBS,1,515,212,0.0,2025-07-29
IBKR,1,27,4,0.0,2025-07-29
IBRX,1,29,15,0.0,2025-07-29
ICU,1,1,8,0.0,2025-07-29
IMG,1,10,19,0.0,2025-07-29
IMO,2,35,53,100.0,2025-07-29
INTC,1,478,101,0.0,2025-07-29
IOVA,1,38,22,0.0,2025-07-29
IP,3,78,19,200.0,2025-07-29
IR,1,11,13,0.0,2025-07-29
IX,1,40,19,0.0,2025-07-29
IXHL,3,85,39,200.0,2025-07-29
JNJ,1,3,3,0.0,2025-07-29
KR,1,42,9,0.0,2025-07-29
KSS,3,666,136,200.0,2025-07-29
LB,3,731,240,200.0,2025-07-29
LGPS,1,3,6,0.0,2025-07-29
LIDR,1,3,6,0.0,2025-07-29
LQDA,1,65,26,0.0,2025-07-29
LYRA,1,40,19,0.0,2025-07-29
MBOT,1,31,15,0.0,2025-07-29
MC,1,31,15,0.0,2025-07-29
MCS,1,31,15,0.0,2025-07-29
MDLZ,1,18,1,0.0,2025-07-29
META,1,283,63,0.0,2025-07-29
MP,2,6904,752,100.0,2025-07-29
MRK,1,18,1,0.0,2025-07-29
MSTR,2,66,51,100.0,2025-07-29
MULN,1,0,29,0.0,2025-07-29
MVIS,2,19,11,100.0,2025-07-29
NCNA,1,36,22,0.0,2025-07-29
NEGG,3,13,34,200.0,2025-07-29
NEHC,2,12,13,100.0,2025-07-29
NEXM,1,208,19,0.0,2025-07-29
NIO,1,19,8,0.0,2025-07-29
NOV,1,3,3,0.0,2025-07-29
NPV,1,515,212,0.0,2025-07-29
NTAP,1,18,1,0.0,2025-07-29
NUE,1,18,1,0.0,2025-07-29
NVDA,4,92,42,300.0,2025-07-29
NVNI,2,194,139,100.0,2025-07-29
NVO,1,462,169,0.0,2025-07-29
NVTS,1,3,6,0.0,2025-07-29
OI,3,980,241,200.0,2025-07-29
OLB,2,52,66,100.0,2025-07-29
OPEN,3,1639,319,200.0,2025-07-29
OPTT,2,0,61,100.0,2025-07-29
ORIS,1,8,18,0.0,2025-07-29
OZ,2,3,7,100.0,2025-07-29
PALI,1,3,1,0.0,2025-07-29
PANW,1,18,1,0.0,2025-07-29
PB,1,0,30,0.0,2025-07-29
PD,1,2,4,0.0,2025-07-29
PEW,2,241,141,100.0,2025-07-29
PFS,1,515,212,0.0,2025-07-29
PFSA,1,14,19,0.0,2025-07-29
PG,1,2,4,0.0,2025-07-29
PH,1,65,26,0.0,2025-07-29
PLTR,4,3147,891,300.0,2025-07-29
PM,1,13,7,0.0,2025-07-29
PR,5,46,26,400.0,2025-07-29
PSTV,1,11,13,0.0,2025-07-29
PT,1,12,13,0.0,2025-07-29
PYPL,1,2,4,0.0,2025-07-29
RC,1,0,1,0.0,2025-07-29
RCAT,1,0,30,0.0,2025-07-29
RCL,1,18,1,0.0,2025-07-29
RDDT,2,61,36,100.0,2025-07-29
RGEN,1,10,19,0.0,2025-07-29
RH,1,2,13,0.0,2025-07-29
RIME,1,1,5,0.0,2025-07-29
RKT,4,211,78,400.0,2025-07-29
RNXT,1,2,1,0.0,2025-07-29
ROKU,1,283,63,0.0,2025-07-29
